rev-sym,iata-req,onu,Nombre apropiado de envío/Descripción,Clase o Div. (Peligros sec.),Etiqueta(s) de peligro,Grp. De emb.,EQ,APCCL-embalaje,APCCL-neta-máx-bulto,APC-embalaje,APC-neta-máx-bulto,AC-embalaje,AC-neta-máx-bulto,Disp-espec,CRE,ingles
,,2059,"Nitrocelulosa en solución inflamable
con no más del 12,6% de nitrógeno por masa seca y no más del 55% de nitrocelulosa",3,Líquido inflamable,II,E0,Y341,1 L,353,5 L,364,60 L,"A3
A40
A91",3H,"Nitrocellulose solution, flammable
with 12.6% or less nitrogen, by dry weight, and 55% or less nitrocellulose"
,,2059,"Nitrocelulosa en solución inflamable
con no más del 12,6% de nitrógeno por masa seca y no más del 55% de nitrocelulosa",3,Líquido inflamable,III,E0,Y344,10 L,355,60 L,366,220 L,"A3
A40
A91",3L,"Nitrocellulose solution, flammable
with 12.6% or less nitrogen, by dry weight, and 55% or less nitrocellulose"
,,2067,Abonos a base de nitrato amónico,5.1,Comburente,III,E1,Y546,10 kg,559,25 kg,563,100 kg,"A64
A79
A803",5L,Ammonium nitrate based fertilizer
,,2071,Abonos a base de nitrato amónico,9,Misceláneas,III,E1,Y958,30 kg G,958,200 kg,958,200 kg,A90,9L,Ammonium nitrate based fertilizer
,,2073,"Amoníaco en solución
acuosa de densidad relativa (peso específico) inferior a 0,880 a 15°C, con más del 35% pero no más del 50% de amoníaco",2.2,Gas no inflamable,,E0,Prohibido,Prohibido,Prohibido,Prohibido,200,150 kg,A1,2L,"Ammonia solution
relative density (specific gravity) less than 0.880 at 15°C in water, with more than 35% but not more than 50% ammonia"
,,2074,Acrilamida sólida,6.1,Tóxico,III,E1,Y645,10 kg,670,100 kg,677,200 kg,,6L,"Acrylamide, solid"
,,2075,"Cloral anhidro, estabilizado",6.1,Tóxico,II,E4,Y641,1 L,654,5 L,662,60 L,,6L,"Chloral, anhydrous, stabilized"
,,2076,Cresoles líquidos,6.1 (8),"Tóxico
Corrosivo",II,E4,Y640,0.5 L,653,1 L,660,30 L,,6C,"Cresols, liquid"
,,2077,alfa-Naftilamina,6.1,Tóxico,III,E1,Y645,10 kg,670,100 kg,677,200 kg,,6L,alpha-Naphthylamine
,,2078,Diisocianato de tolueno,6.1,Tóxico,II,E4,Y641,1 L,654,5 L,662,60 L,A113,6L,Toluene diisocyanate
,,2079,Dietilentriamina,8,Corrosivo,II,E2,Y840,0.5 L,851,1 L,855,30 L,,8L,Diethylenetriamine
,,2186,"Cloruro de hidrógeno, líquido refrigerado",2.3 (8),,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,2CP,"Hydrogen chloride, refrigerated liquid"
,,2187,"Dióxido de carbono, líquido refrigerado",2.2,"Gas no inflamable
Líquido criogénico",,E1,Prohibido,Prohibido,202,50 kg,202,500 kg,,2L,"Carbon dioxide, refrigerated liquid"
,,2188,Arsina,2.3 (2.1),,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,A2,10P,Arsine
,,2189,Diclorosilano,"2.3 (2.1, 8)",,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,A2,10P,Dichlorosilane
,,2190,"Difluoruro de oxígeno, comprimido","2.3 (5.1, 8)",,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,A2,2PX,"Oxygen difluoride, compressed"
,,2191,Fluoruro de sulfurilo,2.3,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,A2,2P,Sulphuryl fluoride
,,2192,Germano,2.3 (2.1),,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,A2,10P,Germane
,,2193,Gas refrigerante R 116,2.2,Gas no inflamable,,E1,Prohibido,Prohibido,200,75 kg,200,150 kg,,2L,Refrigerant gas R 116
,,2193,Hexafluoretano,2.2,Gas no inflamable,,E1,Prohibido,Prohibido,200,75 kg,200,150 kg,,2L,Hexafluoroethane
,,2194,Hexafluoruro de selenio,2.3 (8),,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,A2,2CP,Selenium hexafluoride
,,2195,Hexafluoruro de telurio,2.3 (8),,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,A2,2CP,Tellurium hexafluoride
,,2196,Hexafluoruro de tungsteno,2.3 (8),,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,A2,2CP,Tungsten hexafluoride
,,2197,"Yoduro de hidrógeno, anhidro",2.3 (8),,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,A2,2CP,"Hydrogen iodide, anhydrous"
,,2198,Pentafluoruro de fósforo,2.3 (8),,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,A2,2CP,Phosphorus pentafluoride
,,2199,Fosfina,2.3 (2.1),,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,A2,10P,Phosphine
,,2200,"Propadieno, estabilizado",2.1,Gas inflamable,,E0,Prohibido,Prohibido,Prohibido,Prohibido,200,150 kg,"A1
A209",10L,"Propadiene, stabilized"
,,2201,"Óxido nitroso, líquido refrigerado",2.2 (5.1),,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,A2,2AX,"Nitrous oxide, refrigerated liquid"
,,2202,"Seleniuro de hidrógeno, anhidro",2.3 (2.1),,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,A2,10P,"Hydrogen selenide, anhydrous"
,,2203,Silano,2.1,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,A2,10L,Silane
,,2204,Sulfuro de carbonilo,2.3 (2.1),,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,A2,10P,Carbonyl sulphide
,,2205,Adiponitrilo,6.1,Tóxico,III,E1,Y642,2 L,655,60 L,663,220 L,,6L,Adiponitrile
,,2206,"Isocianato en solución, tóxico, n.e.p. ★ †",6.1,Tóxico,II,E4,Y641,1 L,654,5 L,662,60 L,A3,6L,"Isocyanate solution, toxic, n.o.s. † ★"
,,2206,"Isocianato en solución, tóxico, n.e.p. ★ †",6.1,Tóxico,III,E1,Y642,2 L,655,60 L,663,220 L,A3,6L,"Isocyanate solution, toxic, n.o.s. † ★"
,,2206,"Isocianatos, tóxicos, n.e.p. ★ †",6.1,Tóxico,II,E4,Y641,1 L,654,5 L,662,60 L,A3,6L,"Isocyanates, toxic, n.o.s. † ★"
,,2206,"Isocianatos, tóxicos, n.e.p. ★ †",6.1,Tóxico,III,E1,Y642,2 L,655,60 L,663,220 L,A3,6L,"Isocyanates, toxic, n.o.s. † ★"
,,2208,"Hipoclorito cálcico en mezcla, seca
con > 10% pero ≤ 39% de cloro activo",5.1,Comburente,III,E1,Y546,10 kg,559,25 kg,563,100 kg,"A136
A803",5L,"Calcium hypochlorite mixture, dry
with > 10% but ≤ 39% available chlorine"
,,2209,"Formaldehído en solución
con un mínimo de 25% de formaldehído",8,Corrosivo,III,E1,Y841,1 L,852,5 L,856,60 L,A803,8i,"Formaldehyde solution
with not less than 25% formaldehyde"
,,2210,Maneb,4.2 (4.3),"Combustión<Break/>espontánea
Peligroso mojado",III,E1,Prohibido,Prohibido,468,25 kg,471,100 kg,"A30
A803",4SW,Maneb
,,2210,"Maneb, preparados de
con un mínimo del 60% de maneb",4.2 (4.3),"Combustión<Break/>espontánea
Peligroso mojado",III,E1,Prohibido,Prohibido,468,25 kg,471,100 kg,"A30
A803",4SW,"Maneb preparation
with not less than 60% maneb"
,,2211,"Polímeros en perlas expansibles † 
que desprenden vapores inflamables",9,Misceláneas,III,E1,Prohibido,Prohibido,957,100 kg,957,200 kg,A204,9L,"Polymeric beads, expandable † 
evolving flammable vapour"
,,2212,"Asbesto anfibol ★ † 
(amosita, tremolita, actinolita, antofilita, crocidolita)",9,,II,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,"A2
A61",9L,"Asbestos amphibole † ★
(amosite, tremolite, actinolite, anthophyllite, crocidolite)"
,,2213,Paraformaldehído,4.1,Sólido inflamable,III,E1,Y443,10 kg,446,25 kg,449,100 kg,"A3
A803",3L,Paraformaldehyde
,,2214,"Anhídrido ftálico
con más del 0,05% de anhídrido maleico",8,Corrosivo,III,E1,Y845,5 kg,860,25 kg,864,100 kg,"A74
A803",8L,"Phthalic anhydride
with more than 0.05% of maleic anhydride"
,,2215,Anhídrido maleico,8,Corrosivo,III,E1,Y845,5 kg,860,25 kg,864,100 kg,A803,8L,Maleic anhydride
,,2215,"Anhídrido maleico, fundido",8,,III,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,8L,"Maleic anhydride, molten"
,,2216,Desechos de pescado estabilizados,9,,III,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,A2,9L,"Fish scrap, stabilized"
,,2216,Harina de pescado estabilizada,9,Misceláneas,III,E1,Prohibido,Prohibido,956,100 kg,956,200 kg,A219,9L,"Fish meal, stabilized"
,,2217,"Torta oleaginosa
con el 1,5% ó menos de aceite y el 11% ó menos de humedad",4.2,,III,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,"A2
A55",4L,"Seed cake
with 1.5% or less oil and 11% or less moisture"
,,2218,"Ácido acrílico, estabilizado",8 (3),"Corrosivo
Líquido inflamable",II,E2,Y840,0.5 L,851,1 L,855,30 L,A209,8F,"Acrylic acid, stabilized"
,,2219,Eter alilglicidílico,3,Líquido inflamable,III,E1,Y344,10 L,355,60 L,366,220 L,,3L,Allyl glycidyl ether
,,2222,Anisol,3,Líquido inflamable,III,E1,Y344,10 L,355,60 L,366,220 L,,3L,Anisole
,,2224,Benzonitrilo,6.1,Tóxico,II,E4,Y641,1 L,654,5 L,662,60 L,,6L,Benzonitrile
,,2225,Cloruro de bencenosulfonilo,8,Corrosivo,III,E1,Y841,1 L,852,5 L,856,60 L,A803,8L,Benzenesulphonyl chloride
,,2226,Benzotricloruro,8,Corrosivo,II,E2,Y840,0.5 L,851,1 L,855,30 L,,8L,Benzotrichloride
,,2227,"Metacrilato de n-butilo, estabilizado",3,Líquido inflamable,III,E1,Y344,10 L,355,60 L,366,220 L,A209,3L,"n-Butyl methacrylate, stabilized"
,,2232,2-Cloroetanal,6.1,,I,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,6L,2-Chloroethanal
,,2233,Cloroanisidinas,6.1,Tóxico,III,E1,Y645,10 kg,670,100 kg,677,200 kg,,6L,Chloroanisidines
,,2234,Clorobenzotrifluoruros,3,Líquido inflamable,III,E1,Y344,10 L,355,60 L,366,220 L,,3L,Chlorobenzotrifluorides
,,2235,"Cloruros de clorobencilo, líquidos",6.1,Tóxico,III,E1,Y642,2 L,655,60 L,663,220 L,,6L,"Chlorobenzyl chlorides, liquid"
,,2236,Isocianato de 3-cloro-4-metilfenilo líquido,6.1,Tóxico,II,E4,Y641,1 L,654,5 L,662,60 L,,6L,"3-Chloro-4-methylphenyl isocyanate, liquid"
,,2237,Cloronitroanilinas,6.1,Tóxico,III,E1,Y645,10 kg,670,100 kg,677,200 kg,,6L,Chloronitroanilines
,,2238,Clorotoluenos,3,Líquido inflamable,III,E1,Y344,10 L,355,60 L,366,220 L,,3L,Chlorotoluenes
,,2239,"Clorotoluidinas, sólidas",6.1,Tóxico,III,E1,Y645,10 kg,670,100 kg,677,200 kg,,6L,"Chlorotoluidines, solid"
,,2240,Ácido cromosulfúrico,8,Corrosivo,I,E0,Prohibido,Prohibido,850,0.5 L,854,2.5 L,,8L,Chromosulphuric acid
,,2241,Cicloheptano,3,Líquido inflamable,II,E2,Y341,1 L,353,5 L,364,60 L,,3L,Cycloheptane
,,2242,Ciclohepteno,3,Líquido inflamable,II,E2,Y341,1 L,353,5 L,364,60 L,,3L,Cycloheptene
,,2243,Acetato de ciclohexilo,3,Líquido inflamable,III,E1,Y344,10 L,355,60 L,366,220 L,,3L,Cyclohexyl acetate
,,2244,Ciclopentanol,3,Líquido inflamable,III,E1,Y344,10 L,355,60 L,366,220 L,,3L,Cyclopentanol
,,2245,Ciclopentanona,3,Líquido inflamable,III,E1,Y344,10 L,355,60 L,366,220 L,,3L,Cyclopentanone
,,2246,Ciclopenteno,3,Líquido inflamable,II,E2,Y341,1 L,353,5 L,364,60 L,,3H,Cyclopentene
,,2247,n-Decano,3,Líquido inflamable,III,E1,Y344,10 L,355,60 L,366,220 L,,3L,n-Decane
,,2248,Di-n-butilamina,8 (3),"Corrosivo
Líquido inflamable",II,E2,Y840,0.5 L,851,1 L,855,30 L,,8F,Di-n-butylamine
,,2249,"Eter diclorodimetílico, simétrico",6.1 (3),,I,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,6F,"Dichlorodimethyl ether, symmetrical"
,,2250,Isocianatos de diclorofenilo,6.1,Tóxico,II,E4,Y644,1 kg,669,25 kg,676,100 kg,,6L,Dichlorophenyl isocyanates
,,2251,"Biciclo[2.2.1]-hepta-2,5-dieno, estabilizado",3,Líquido inflamable,II,E2,Y341,1 L,353,5 L,364,60 L,A209,3L,"Bicyclo[2.2.1]-hepta-2,5-diene, stabilized"
,,2251,"2,5-Norbornadieno, estabilizado",3,Líquido inflamable,II,E2,Y341,1 L,353,5 L,364,60 L,A209,3L,"2,5-Norbornadiene, stabilized"
,,2252,"1,2-Dimetoxietano",3,Líquido inflamable,II,E2,Y341,1 L,353,5 L,364,60 L,,3L,"1,2-Dimethoxyethane"
,,2253,"N,N-Dimetilanilina",6.1,Tóxico,II,E4,Y641,1 L,654,5 L,662,60 L,,6L,"N,N-Dimethylaniline"
,,2254,Cerillas resistentes al viento †,4.1,,III,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,"A2
A125",3L,"Matches, fusee †"
,,2256,Ciclohexeno,3,Líquido inflamable,II,E2,Y341,1 L,353,5 L,364,60 L,,3H,Cyclohexene
,,2257,Potasio,4.3,Peligroso mojado,I,E0,Prohibido,Prohibido,Prohibido,Prohibido,487,15 kg,A1,4W,Potassium
,,2258,"1,2-Propilendiamina",8 (3),"Corrosivo
Líquido inflamable",II,E2,Y840,0.5 L,851,1 L,855,30 L,,8F,"1,2-Propylenediamine"
,,2259,Trietilentetramina,8,Corrosivo,II,E2,Y840,0.5 L,851,1 L,855,30 L,,8L,Triethylenetetramine
,,2260,Tripropilamina,3 (8),"Líquido inflamable
Corrosivo",III,E1,Y342,1 L,354,5 L,365,60 L,A803,3C,Tripropylamine
,,2261,"Xilenoles, sólidos",6.1,Tóxico,II,E4,Y644,1 kg,669,25 kg,676,100 kg,,6L,"Xylenols, solid"
,,2262,Cloruro de dimetilcarbamoílo,8,Corrosivo,II,E2,Y840,0.5 L,851,1 L,855,30 L,,8L,Dimethylcarbamoyl chloride
,,2263,Dimetilciclohexanos,3,Líquido inflamable,II,E2,Y341,1 L,353,5 L,364,60 L,,3L,Dimethylcyclohexanes
,,2264,"N,N-Dimetilciclohexilamina",8 (3),"Corrosivo
Líquido inflamable",II,E2,Y840,0.5 L,851,1 L,855,30 L,,8F,"N,N-Dimethylcyclohexylamine"
,,2265,"N,N-Dimetilformamida",3,Líquido inflamable,III,E1,Y344,10 L,355,60 L,366,220 L,,3L,"N,N-Dimethylformamide"
,,2266,Dimetil-N-propilamina,3 (8),"Líquido inflamable
Corrosivo",II,E2,Y340,0.5 L,352,1 L,363,5 L,,3C,Dimethyl-N-propylamine
,,2267,Cloruro de dimetiltiofosforilo,6.1 (8),"Tóxico
Corrosivo",II,E4,Y640,0.5 L,653,1 L,660,30 L,,6C,Dimethyl thiophosphoryl chloride
,,2269,"3,3'-Iminodipropilamina",8,Corrosivo,III,E1,Y841,1 L,852,5 L,856,60 L,A803,8L,"3,3'-Iminodipropylamine"
,,2270,"Etilamina en solución acuosa
con un mínimo del 50% pero no más del 70% de etilamina",3 (8),"Líquido inflamable
Corrosivo",II,E2,Y340,0.5 L,352,1 L,363,5 L,,3CH,"Ethylamine, aqueous solution
with 50% or more but not more than 70% ethylamine"
,,2271,Etilamilcetona,3,Líquido inflamable,III,E1,Y344,10 L,355,60 L,366,220 L,,3L,Ethyl amyl ketone
,,2272,N-Etilanilina,6.1,Tóxico,III,E1,Y642,2 L,655,60 L,663,220 L,,6L,N-Ethylaniline
,,2273,2-Etilanilina,6.1,Tóxico,III,E1,Y642,2 L,655,60 L,663,220 L,,6L,2-Ethylaniline
,,2274,N-Etil-N-bencilanilina,6.1,Tóxico,III,E1,Y642,2 L,655,60 L,663,220 L,,6L,N-Ethyl-N-benzylaniline
,,2275,2-Etilbutanol,3,Líquido inflamable,III,E1,Y344,10 L,355,60 L,366,220 L,,3L,2-Ethylbutanol
,,2276,2-Etilhexilamina,3 (8),"Líquido inflamable
Corrosivo",III,E1,Y342,1 L,354,5 L,365,60 L,A803,3C,2-Ethylhexylamine
,,2277,"Metacrilato de etilo, estabilizado",3,Líquido inflamable,II,E2,Y341,1 L,353,5 L,364,60 L,A209,3L,"Ethyl methacrylate, stabilized"
,,2278,n-Hepteno,3,Líquido inflamable,II,E2,Y341,1 L,353,5 L,364,60 L,,3L,n-Heptene
,,2279,Hexaclorobutadieno,6.1,Tóxico,III,E1,Y642,2 L,655,60 L,663,220 L,,6L,Hexachlorobutadiene
,,2280,Hexametilendiamina sólida,8,Corrosivo,III,E1,Y845,5 kg,860,25 kg,864,100 kg,A803,8L,"Hexamethylenediamine, solid"
,,2281,Diisocianato de hexametileno,6.1,Tóxico,II,E4,Y641,1 L,654,5 L,662,60 L,,6L,Hexamethylene diisocyanate
,,2282,Hexanoles,3,Líquido inflamable,III,E1,Y344,10 L,355,60 L,366,220 L,,3L,Hexanols
,,2283,"Metacrilato de isobutilo, estabilizado",3,Líquido inflamable,III,E1,Y344,10 L,355,60 L,366,220 L,A209,3L,"Isobutyl methacrylate, stabilized"
